customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,cuenta_diaria,servicios_contratados
0032-PGELS,Si,Femenino,False,True,True,1,False,False,DSL,True,False,False,False,False,False,Mes a mes,False,Transferencia bancaria (automático),30.5,30.5,1.0166666666666666,2
0036-IHMOT,No,Femenino,False,True,True,55,True,False,Fibra óptica,False,True,True,True,True,True,Un año,True,Transferencia bancaria (automático),103.7,5656.75,3.4566666666666666,7
0040-HALCW,No,Masculino,False,True,True,54,True,False,No,False,False,False,False,False,False,Dos años,False,Tarjeta de crédito (automático),20.4,1090.6,0.6799999999999999,1
0042-JVWOJ,No,Masculino,False,False,False,26,True,False,No,False,False,False,False,False,False,Un año,True,Transferencia bancaria (automático),19.6,471.85,0.6533333333333334,1
0042-RLHYP,No,Femenino,False,True,True,69,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia bancaria (automático),19.7,1396.9,0.6566666666666666,1
0048-LUMLS,No,Masculino,False,True,True,37,True,False,Fibra óptica,False,False,False,False,True,True,Un año,False,Tarjeta de crédito (automático),91.2,3247.55,3.04,4
0048-PIHNL,No,Femenino,False,True,False,49,True,False,No,False,False,False,False,False,False,Un año,False,Transferencia bancaria (automático),20.45,900.9,0.6816666666666666,1
0052-DCKON,No,Masculino,False,True,False,66,True,True,Fibra óptica,True,True,True,True,True,True,Un año,False,Transferencia bancaria (automático),115.8,7942.15,3.86,9
0052-YNYOT,No,Femenino,False,False,False,67,True,False,No,False,False,False,False,False,False,Un año,False,Cheque electrónico,20.55,1343.4,0.685,1
0056-EPFBG,No,Masculino,False,True,True,20,False,False,DSL,True,False,True,True,False,False,Dos años,True,Tarjeta de crédito (automático),39.4,825.4,1.3133333333333332,4
0057-QBUQH,No,Femenino,False,False,True,43,True,True,No,False,False,False,False,False,False,Dos años,True,Cheque electrónico,25.1,1070.15,0.8366666666666667,2
0058-EVZWM,No,Femenino,False,True,False,55,True,True,Fibra óptica,True,False,False,False,True,False,Mes a mes,True,Transferencia bancaria (automático),89.8,4959.6,2.993333333333333,5
0060-FUALY,No,Femenino,False,True,False,59,True,True,Fibra óptica,True,True,False,False,True,False,Mes a mes,True,Cheque electrónico,94.75,5597.65,3.158333333333333,6
0064-SUDOG,No,Femenino,False,True,True,12,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia bancaria (automático),20.3,224.5,0.6766666666666666,1
0064-YIJGF,No,Masculino,False,True,True,27,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Transferencia bancaria (automático),75.75,1929.0,2.525,3
0067-DKWBL,Si,Masculino,True,False,False,2,True,False,DSL,True,False,False,False,False,False,Mes a mes,True,Cheque electrónico,49.25,91.1,1.6416666666666666,3
0068-FIGTF,No,Femenino,False,False,False,27,True,False,DSL,False,True,True,True,True,True,Un año,False,Cheque por correo,78.2,2078.95,2.606666666666667,7
0071-NDAFP,No,Masculino,False,True,True,25,True,True,No,False,False,False,False,False,False,Dos años,False,Tarjeta de crédito (automático),25.5,630.6,0.85,2
0074-HDKDG,No,Masculino,False,True,True,25,True,False,DSL,True,True,True,False,False,False,Un año,True,Transferencia bancaria (automático),61.6,1611.0,2.0533333333333332,5
0076-LVEPS,No,Masculino,False,False,True,29,False,False,DSL,True,True,True,True,False,False,Mes a mes,True,Cheque por correo,45.0,1242.45,1.5,5
0078-XZMHT,No,Masculino,False,True,False,72,True,True,DSL,False,True,True,True,True,True,Dos años,True,Transferencia bancaria (automático),85.15,6316.2,2.8383333333333334,8
0080-EMYVY,No,Femenino,False,False,False,14,True,False,DSL,False,True,False,False,False,False,Un año,False,Tarjeta de crédito (automático),51.45,727.85,1.715,3
0080-OROZO,No,Femenino,False,False,False,35,True,False,Fibra óptica,False,False,True,True,True,True,Un año,True,Cheque electrónico,99.25,3532.0,3.308333333333333,6
0082-LDZUE,No,Masculino,False,False,False,1,True,False,DSL,False,False,False,False,False,False,Mes a mes,True,Cheque por correo,44.3,44.3,1.4766666666666666,2
0082-OQIQY,No,Masculino,False,False,False,29,True,False,Fibra óptica,False,False,False,True,True,True,Mes a mes,True,Cheque electrónico,94.2,2607.6,3.14,5
0083-PIVIK,No,Masculino,False,False,False,64,True,True,DSL,True,True,True,True,True,False,Un año,False,Cheque electrónico,81.25,5567.55,2.7083333333333335,8
0089-IIQKO,No,Femenino,False,True,True,39,True,True,Fibra óptica,False,False,False,True,True,True,Mes a mes,True,Tarjeta de crédito (automático),99.95,3767.4,3.3316666666666666,6
0093-EXYQL,No,Femenino,True,False,False,40,True,False,Fibra óptica,False,False,False,False,True,True,Mes a mes,True,Cheque electrónico,91.55,3673.6,3.0516666666666667,4
0093-XWZFY,Si,Masculino,False,False,False,40,True,True,Fibra óptica,False,True,True,False,True,True,Mes a mes,True,Tarjeta de crédito (automático),104.5,4036.85,3.4833333333333334,7
0094-OIFMO,Si,Femenino,True,False,False,11,True,False,Fibra óptica,False,True,False,False,True,True,Mes a mes,True,Cheque electrónico,95.0,1120.3,3.1666666666666665,5
0096-BXERS,No,Femenino,False,True,False,6,True,True,DSL,False,False,False,False,False,False,Mes a mes,False,Cheque electrónico,50.35,314.55,1.6783333333333335,3
0096-FCPUF,No,Masculino,False,False,False,30,True,True,DSL,True,False,False,False,False,True,Mes a mes,True,Cheque por correo,64.5,1888.45,2.15,5
0098-BOWSO,No,Masculino,False,False,False,27,True,False,No,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,19.4,529.8,0.6466666666666666,1
0100-DUVFC,No,Masculino,True,True,False,70,True,True,Fibra óptica,False,True,True,False,True,True,Un año,True,Cheque electrónico,104.8,7308.95,3.493333333333333,7
0103-CSITQ,No,Femenino,False,True,False,57,True,True,Fibra óptica,False,True,True,True,True,True,Un año,True,Transferencia bancaria (automático),109.4,6252.7,3.646666666666667,8
0104-PPXDV,No,Masculino,False,True,False,58,True,False,DSL,False,False,True,False,False,False,Un año,False,Tarjeta de crédito (automático),50.3,2878.55,1.6766666666666665,3
0106-GHRQR,No,Masculino,False,False,False,16,True,True,DSL,False,True,True,False,False,True,Mes a mes,True,Transferencia bancaria (automático),71.4,1212.1,2.3800000000000003,6
0106-UGRDO,No,Femenino,False,True,False,69,True,True,Fibra óptica,True,True,True,True,True,True,Dos años,True,Cheque electrónico,116.0,8182.85,3.8666666666666667,9
0107-WESLM,Si,Masculino,False,False,False,1,True,False,No,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,19.85,19.85,0.6616666666666667,1
0107-YHINA,Si,Masculino,False,False,True,1,True,True,Fibra óptica,False,False,True,False,True,True,Mes a mes,True,Cheque electrónico,99.75,99.75,3.325,6
0111-KLBQG,No,Masculino,True,True,True,32,True,False,Fibra óptica,False,True,False,False,True,True,Mes a mes,True,Cheque por correo,93.95,2861.45,3.131666666666667,5
0112-QAWRZ,No,Masculino,False,True,True,16,True,True,Fibra óptica,False,False,True,False,True,False,Mes a mes,True,Transferencia bancaria (automático),90.8,1442.2,3.0266666666666664,5
0112-QWPNC,Si,Masculino,False,True,False,49,True,True,DSL,True,False,True,True,True,True,Un año,False,Cheque electrónico,84.35,4059.35,2.8116666666666665,8
0114-IGABW,No,Femenino,False,True,False,71,False,False,DSL,False,True,True,True,True,True,Dos años,False,Transferencia bancaria (automático),58.25,4145.9,1.9416666666666667,6
0114-PEGZZ,No,Femenino,False,False,False,33,True,True,Fibra óptica,False,True,True,False,True,True,Mes a mes,False,Cheque electrónico,107.55,3645.5,3.585,7
0114-RSRRW,No,Femenino,False,True,False,10,True,False,No,False,False,False,False,False,False,Mes a mes,True,Transferencia bancaria (automático),19.95,187.75,0.6649999999999999,1
0115-TFERT,Si,Masculino,False,True,False,21,True,True,Fibra óptica,False,True,True,True,True,True,Mes a mes,True,Cheque electrónico,111.2,2317.1,3.7066666666666666,8
0117-LFRMW,Si,Masculino,False,True,True,37,False,False,DSL,True,True,True,False,False,False,Mes a mes,False,Transferencia bancaria (automático),40.2,1448.8,1.34,4
0118-JPNOY,No,Femenino,True,False,False,26,True,False,Fibra óptica,True,False,False,False,True,False,Mes a mes,True,Tarjeta de crédito (automático),85.8,2193.65,2.86,4
0121-SNYRK,No,Masculino,False,False,False,50,False,False,DSL,True,False,False,True,False,False,Un año,True,Cheque por correo,35.4,1748.9,1.18,3
0122-OAHPZ,Si,Femenino,False,False,False,7,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,73.85,511.25,2.4616666666666664,3
0123-CRBRT,No,Femenino,False,True,True,61,True,True,DSL,True,True,True,True,True,True,Dos años,False,Cheque por correo,88.1,5526.75,2.9366666666666665,9
0125-LZQXK,Si,Masculino,False,False,False,15,True,False,Fibra óptica,False,False,True,True,True,True,Mes a mes,True,Cheque electrónico,101.35,1553.95,3.378333333333333,6
0128-MKWSG,No,Femenino,False,False,True,26,False,False,DSL,True,False,False,True,False,True,Mes a mes,False,Cheque por correo,45.8,1147.0,1.5266666666666666,4
0129-KPTWJ,No,Masculino,False,True,False,72,True,False,Fibra óptica,False,False,True,False,True,True,Mes a mes,True,Cheque electrónico,94.65,6747.35,3.1550000000000002,5
0129-QMPDR,No,Masculino,False,True,True,44,True,False,No,False,False,False,False,False,False,Un año,True,Transferencia bancaria (automático),20.5,865.05,0.6833333333333333,1
0130-SXOUN,No,Masculino,False,False,False,66,True,True,Fibra óptica,False,True,False,False,False,True,Mes a mes,False,Tarjeta de crédito (automático),89.4,5976.9,2.98,5
0133-BMFZO,Si,Femenino,False,False,False,2,True,False,Fibra óptica,True,True,False,True,False,False,Mes a mes,True,Cheque electrónico,86.25,181.65,2.875,5
0134-XWXCE,No,Femenino,True,False,False,44,True,False,DSL,False,False,True,True,True,True,Un año,False,Transferencia bancaria (automático),74.85,3268.05,2.4949999999999997,6
0135-NMXAP,Si,Femenino,False,False,False,12,True,True,Fibra óptica,False,True,False,False,True,False,Mes a mes,True,Transferencia bancaria (automático),89.75,1052.4,2.9916666666666667,5
0136-IFMYD,No,Masculino,True,True,False,69,True,True,Fibra óptica,False,True,True,True,True,True,Dos años,True,Cheque electrónico,109.95,7634.25,3.665,8
0137-OCGAB,Si,Femenino,False,False,False,1,True,True,Fibra óptica,False,True,False,False,False,False,Mes a mes,True,Cheque por correo,80.2,80.2,2.6733333333333333,4
0137-UDEUO,Si,Femenino,False,False,False,3,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,19.85,63.75,0.6616666666666667,1
0139-IVFJG,No,Femenino,False,True,False,2,True,False,Fibra óptica,True,True,False,False,True,False,Mes a mes,False,Cheque electrónico,90.35,190.5,3.0116666666666663,5
0141-YEAYS,No,Femenino,True,False,False,27,True,True,Fibra óptica,False,True,True,False,False,False,Mes a mes,True,Transferencia bancaria (automático),86.45,2401.05,2.881666666666667,5
0142-GVYSN,No,Masculino,False,False,False,26,True,False,No,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,20.3,511.25,0.6766666666666666,1
0147-ESWWR,No,Femenino,True,True,False,39,True,True,Fibra óptica,False,False,False,True,True,True,Mes a mes,True,Cheque electrónico,101.25,3949.15,3.375,6
0148-DCDOS,Si,Masculino,False,False,False,25,True,True,Fibra óptica,False,False,False,False,True,True,Mes a mes,True,Transferencia bancaria (automático),94.7,2362.1,3.1566666666666667,5
0151-ONTOV,Si,Femenino,False,False,False,1,True,False,Fibra óptica,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,70.9,70.9,2.3633333333333337,2
0156-FVPTA,Si,Masculino,False,True,False,22,True,False,DSL,True,False,False,True,False,False,Mes a mes,True,Cheque electrónico,54.2,1152.7,1.8066666666666669,4
0164-APGRB,No,Femenino,False,False,False,72,True,True,Fibra óptica,True,True,True,True,True,True,Dos años,True,Cheque electrónico,114.9,8496.7,3.83,9
0164-XAIRP,No,Femenino,False,False,False,24,True,False,No,False,False,False,False,False,False,Dos años,True,Transferencia bancaria (automático),19.55,470.2,0.6516666666666667,1
0168-XZKBB,No,Femenino,False,True,False,19,True,True,Fibra óptica,False,False,False,False,True,False,Mes a mes,True,Cheque electrónico,86.85,1564.4,2.895,4
0174-QRVVY,No,Masculino,False,True,True,71,True,True,No,False,False,False,False,False,False,Dos años,False,Tarjeta de crédito (automático),25.35,1847.55,0.8450000000000001,2
0177-PXBAT,No,Masculino,True,True,False,33,True,True,Fibra óptica,True,False,True,True,True,True,Mes a mes,True,Transferencia bancaria (automático),109.9,3694.7,3.6633333333333336,8
0178-CIIKR,No,Femenino,False,False,False,3,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,19.95,58.0,0.6649999999999999,1
0178-SZBHO,No,Masculino,False,True,True,47,True,True,Fibra óptica,False,True,False,False,True,False,Mes a mes,False,Cheque electrónico,87.2,4017.45,2.9066666666666667,5
0181-RITDD,No,Masculino,False,True,True,62,True,False,Fibra óptica,True,True,True,True,True,True,Dos años,False,Cheque por correo,108.15,6825.65,3.605,8
0186-CAERR,No,Masculino,False,False,False,71,True,True,Fibra óptica,True,True,True,True,True,True,Un año,True,Transferencia bancaria (automático),116.3,8309.55,3.8766666666666665,9
0187-QSXOE,No,Masculino,True,True,False,7,True,False,Fibra óptica,False,False,False,False,True,True,Mes a mes,True,Cheque electrónico,89.0,605.45,2.966666666666667,4
0187-WZNAB,No,Femenino,False,True,True,27,True,False,Fibra óptica,True,False,False,False,False,False,Mes a mes,False,Cheque por correo,74.4,1972.35,2.48,3
0188-GWFLE,No,Masculino,False,False,False,2,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,20.05,33.7,0.6683333333333333,1
0191-EQUUH,No,Femenino,False,False,True,25,False,False,DSL,True,False,False,True,False,False,Dos años,False,Transferencia bancaria (automático),35.05,844.45,1.1683333333333332,3
0191-ZHSKZ,No,Masculino,True,False,False,30,True,False,DSL,True,True,False,False,True,True,Mes a mes,True,Cheque electrónico,74.75,2111.3,2.4916666666666667,6
0193-ESZXP,Si,Femenino,True,True,False,58,True,False,Fibra óptica,True,True,False,True,True,True,Un año,True,Tarjeta de crédito (automático),105.5,6205.5,3.5166666666666666,7
0195-IESCP,Si,Masculino,False,True,False,10,True,True,Fibra óptica,False,False,False,False,False,True,Mes a mes,True,Cheque electrónico,85.25,855.3,2.841666666666667,4
0196-JTUQI,No,Femenino,False,False,False,9,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Tarjeta de crédito (automático),75.2,633.85,2.506666666666667,3
0196-VULGZ,Si,Femenino,True,True,False,6,True,True,Fibra óptica,False,False,False,False,False,True,Mes a mes,True,Cheque electrónico,84.35,474.9,2.8116666666666665,4
0197-PNKNK,No,Femenino,False,True,True,69,True,True,Fibra óptica,True,False,True,False,False,False,Un año,False,Transferencia bancaria (automático),84.45,5848.6,2.815,5
0201-MIBOL,No,Femenino,True,False,False,66,True,True,Fibra óptica,True,False,False,False,True,True,Dos años,True,Transferencia bancaria (automático),102.4,6471.85,3.4133333333333336,6
0201-OAMXR,Si,Femenino,False,False,False,70,True,True,Fibra óptica,True,True,True,True,True,True,Un año,False,Tarjeta de crédito (automático),115.55,8127.6,3.8516666666666666,9
0203-HHYIJ,Si,Masculino,False,False,False,25,True,True,No,False,False,False,False,False,False,Un año,False,Transferencia bancaria (automático),25.3,676.35,0.8433333333333334,2
0206-OYVOC,No,Femenino,False,True,True,46,True,False,No,False,False,False,False,False,False,Dos años,True,Cheque por correo,19.25,864.2,0.6416666666666667,1
0206-TBWLC,No,Femenino,False,True,False,54,True,True,Fibra óptica,True,True,True,True,True,True,Un año,True,Cheque por correo,114.65,6049.5,3.8216666666666668,9
0207-MDKNV,Si,Femenino,False,False,False,15,True,False,Fibra óptica,True,False,True,True,True,True,Mes a mes,False,Cheque electrónico,105.1,1582.75,3.503333333333333,7
0208-BPQEJ,No,Femenino,False,True,True,12,True,False,No,False,False,False,False,False,False,Mes a mes,False,Transferencia bancaria (automático),19.4,198.1,0.6466666666666666,1
0212-ISBBF,No,Femenino,False,False,False,22,False,False,DSL,False,True,False,False,True,True,Mes a mes,True,Cheque electrónico,50.35,1098.85,1.6783333333333335,4
0214-JHPFW,No,Femenino,False,True,False,70,False,False,DSL,False,True,True,True,True,True,Dos años,False,Transferencia bancaria (automático),57.8,4039.3,1.9266666666666665,6
0215-BQKGS,No,Masculino,False,False,False,30,True,False,Fibra óptica,True,True,True,False,False,False,Mes a mes,True,Tarjeta de crédito (automático),84.3,2438.6,2.81,5
0218-QNVAS,No,Masculino,False,True,True,71,True,True,Fibra óptica,False,True,False,False,True,True,Un año,False,Transferencia bancaria (automático),100.55,7113.75,3.3516666666666666,6
0219-QAERP,No,Masculino,False,True,False,30,True,False,No,False,False,False,False,False,False,Un año,False,Tarjeta de crédito (automático),19.8,576.65,0.66,1
0219-YTZUE,Si,Masculino,False,True,True,4,True,True,Fibra óptica,False,True,True,False,False,False,Mes a mes,True,Transferencia bancaria (automático),84.8,371.9,2.8266666666666667,5
0220-EBGCE,Si,Masculino,False,False,False,2,True,False,Fibra óptica,False,False,True,False,False,True,Mes a mes,True,Cheque electrónico,85.85,167.3,2.8616666666666664,4
0221-NAUXK,No,Masculino,False,False,True,10,True,False,No,False,False,False,False,False,False,Un año,True,Transferencia bancaria (automático),19.95,219.5,0.6649999999999999,1
0221-WMXNQ,No,Masculino,True,False,False,4,True,False,Fibra óptica,True,False,False,False,False,False,Mes a mes,False,Cheque electrónico,75.35,273.4,2.5116666666666663,3
0222-CNVPT,No,Masculino,True,False,False,52,False,False,DSL,True,False,False,False,True,True,Mes a mes,True,Tarjeta de crédito (automático),48.8,2555.05,1.6266666666666665,4
0224-HJAPT,Si,Masculino,False,False,False,5,True,True,DSL,False,False,False,False,False,False,Mes a mes,False,Cheque electrónico,47.15,223.15,1.5716666666666665,3
0224-NIJLP,No,Masculino,False,True,True,8,True,False,No,False,False,False,False,False,False,Dos años,False,Cheque por correo,20.15,165.5,0.6716666666666666,1
0224-RLWWD,No,Femenino,True,False,False,2,True,False,DSL,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,44.3,89.3,1.4766666666666666,2
0225-ZORZP,No,Masculino,False,False,False,3,True,False,Fibra óptica,False,True,False,False,False,True,Mes a mes,False,Cheque electrónico,84.3,235.05,2.81,4
0228-MAUWC,No,Masculino,False,False,False,19,True,True,DSL,False,False,True,True,False,False,Mes a mes,False,Cheque electrónico,59.55,1144.6,1.9849999999999999,5
0229-LFJAF,No,Masculino,False,False,False,72,True,True,DSL,True,True,True,True,False,False,Dos años,False,Transferencia bancaria (automático),69.65,4908.25,2.3216666666666668,7
0230-UBYPQ,No,Masculino,True,True,False,63,False,False,DSL,True,False,False,True,False,False,Un año,False,Transferencia bancaria (automático),36.1,2298.9,1.2033333333333334,3
0230-WEQUW,No,Masculino,False,True,False,66,False,False,DSL,True,True,True,True,True,False,Dos años,True,Transferencia bancaria (automático),56.6,3789.2,1.8866666666666667,6
0231-LXVAP,Si,Masculino,False,False,False,1,True,False,Fibra óptica,False,False,False,True,False,False,Mes a mes,True,Cheque electrónico,75.9,75.9,2.5300000000000002,3
0233-FTHAV,No,Femenino,False,False,False,60,True,True,Fibra óptica,False,False,True,False,False,False,Un año,True,Transferencia bancaria (automático),79.2,4765.0,2.64,4
0234-TEVTT,No,Femenino,False,True,True,48,False,False,DSL,True,False,True,False,False,True,Un año,False,Tarjeta de crédito (automático),45.0,2196.3,1.5,4
0235-KGSLC,Si,Femenino,False,False,False,1,True,False,Fibra óptica,False,False,True,False,True,False,Mes a mes,True,Tarjeta de crédito (automático),85.55,85.55,2.8516666666666666,4
0236-HFWSV,Si,Masculino,False,False,False,15,True,True,Fibra óptica,False,False,False,False,True,True,Mes a mes,True,Cheque electrónico,93.35,1444.65,3.1116666666666664,5
0237-YFUTL,No,Femenino,False,True,False,50,True,True,Fibra óptica,True,True,False,True,True,True,Mes a mes,True,Transferencia bancaria (automático),109.65,5405.8,3.6550000000000002,8
0238-WHBIQ,No,Masculino,False,True,True,72,True,True,DSL,True,True,True,True,True,True,Dos años,False,Tarjeta de crédito (automático),89.7,6339.3,2.99,9
0239-OXEXL,No,Femenino,False,False,False,46,True,True,Fibra óptica,True,True,False,False,False,False,Mes a mes,False,Cheque por correo,84.25,3847.6,2.808333333333333,5
0244-LGNFY,No,Femenino,False,True,True,72,True,True,DSL,True,True,True,True,True,True,Dos años,False,Transferencia bancaria (automático),92.65,6733.0,3.0883333333333334,9
0247-SLUJI,No,Masculino,False,True,True,1,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,19.7,19.7,0.6566666666666666,1
0248-IPDFW,No,Femenino,False,False,False,1,True,True,DSL,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,50.1,50.1,1.6700000000000002,3
0248-PGHBZ,No,Femenino,True,False,False,67,True,False,Fibra óptica,True,True,False,True,True,False,Dos años,True,Transferencia bancaria (automático),92.45,6140.85,3.0816666666666666,6
0253-ZTEOB,No,Femenino,False,True,True,48,True,True,DSL,False,True,False,True,True,True,Dos años,False,Cheque electrónico,79.65,3870.3,2.6550000000000002,7
0254-FNMCI,No,Femenino,False,False,False,72,True,False,Fibra óptica,True,True,True,True,True,True,Dos años,True,Cheque electrónico,109.9,7624.2,3.6633333333333336,8
0254-KCJGT,No,Masculino,False,True,False,52,True,True,DSL,True,True,True,True,False,True,Un año,True,Tarjeta de crédito (automático),81.4,4354.45,2.7133333333333334,8
0254-WWRKD,No,Femenino,False,True,True,67,True,False,DSL,False,True,False,False,False,False,Un año,False,Tarjeta de crédito (automático),50.55,3431.75,1.6849999999999998,3
0256-LTHVJ,Si,Femenino,False,True,True,28,True,False,Fibra óptica,False,False,False,False,False,True,Mes a mes,True,Cheque electrónico,81.05,2227.1,2.7016666666666667,3
0257-KXZGU,No,Femenino,False,True,True,32,True,True,DSL,False,True,True,False,False,False,Mes a mes,False,Transferencia bancaria (automático),62.45,2045.55,2.0816666666666666,5
0257-ZESQC,Si,Femenino,True,True,False,27,True,False,Fibra óptica,True,False,False,False,False,False,Mes a mes,True,Transferencia bancaria (automático),75.2,1929.35,2.506666666666667,3
0258-NOKBL,No,Masculino,False,False,False,3,True,False,Fibra óptica,False,True,True,False,False,True,Mes a mes,False,Cheque electrónico,90.4,268.45,3.0133333333333336,5
0259-GBZSH,Si,Masculino,False,False,False,2,True,True,Fibra óptica,False,False,False,False,True,False,Mes a mes,True,Cheque electrónico,85.65,181.5,2.855,4
0260-ZDLGK,Si,Femenino,False,False,True,9,True,False,DSL,False,False,True,True,True,True,Mes a mes,True,Cheque por correo,72.9,651.4,2.43,6
0263-FJTQO,No,Masculino,False,True,True,50,True,True,DSL,True,False,False,True,True,False,Dos años,True,Tarjeta de crédito (automático),70.5,3486.65,2.35,6
0264-CNITK,No,Femenino,False,True,True,71,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia bancaria (automático),20.1,1389.6,0.67,1
0265-EDXBD,Si,Masculino,True,True,False,32,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,74.9,2303.35,2.496666666666667,3
0265-PSUAE,No,Femenino,False,True,True,16,True,False,Fibra óptica,True,False,True,False,True,True,Mes a mes,False,Transferencia bancaria (automático),100.7,1522.7,3.356666666666667,6
